300.0,0.0
403.27,30.85
412.14,32.58
421.01,34.39
429.89,36.17
438.76,37.93
446.15,39.49
453.55,41.93
460.94,44.61
467.59,46.66
475.73,48.19
484.6,47.44
493.47,45.65
502.35,45.62
511.22,47.25
520.09,49.41
528.96,50.97
537.84,52.0
545.97,53.38
552.62,55.96
557.31,57.95
560.76,61.08
565.93,63.80
571.85,66.24
579.24,67.37
588.11,65.93
596.99,64.49
605.86,64.27
614.73,64.74
623.61,65.08
632.48,65.58
641.35,66.21
650.22,65.9
658.36,64.31
666.49,62.05
675.36,59.83
684.24,57.92
693.11,56.2
701.98,54.57
710.85,52.82
719.73,50.97
728.6,49.47
737.47,47.78
745.6,46.02
751.52,43.75
755.96,41.74
760.39,38.80
764.83,36.55
769.27,34.36
775.92,31.7
784.79,31.11
793.67,31.54
802.54,31.92
811.41,31.98
820.28,31.95
829.16,31.64
838.03,31.01
846.9,30.2
855.77,29.17
864.65,28.07
873.52,26.88
882.39,25.25
891.26,23.5
900.14,21.69
909.01,19.94
917.88,18.28
926.76,16.62
935.63,14.80
944.5,13.02
953.37,11.43
962.25,9.99
971.12,8.58
979.99,7.33
988.86,6.23
997.0,5.4
1050.0,0.0
