203.13,5.43
210.53,7.21
217.93,9.19
225.00,12.21
232.07,15.72
239.47,18.73
246.54,16.35
253.61,12.76
261.01,9.61
268.42,8.34
275.82,7.24
283.22,6.83
290.63,7.21
298.03,7.60
305.44,8.71
312.84,10.19
320.24,11.60
327.65,12.79
335.05,13.97
342.12,16.10
349.19,19.94
355.92,23.64
362.36,26.87
368.83,30.87
374.72,34.59
380.70,38.45
386.21,42.36
391.59,46.19
396.54,49.80
401.69,53.95
407.75,57.63
414.23,61.21
420.42,64.89
427.94,68.56
435.34,71.83
442.75,74.97
449.87,77.80
457.56,80.60
464.96,83.01
472.36,85.23
479.77,87.28
487.17,88.40
494.58,89.39
501.98,90.20
509.38,90.66
516.79,91.16
524.19,91.49
531.60,91.70
539.00,91.97
546.40,92.15
553.81,92.45
561.21,92.49
568.62,92.48
576.02,92.49
583.42,92.49
590.83,92.48
598.23,92.45
605.64,92.16
613.04,92.06
620.44,91.77
627.85,91.49
635.25,91.20
642.66,90.87
650.06,90.51
657.46,90.20
664.87,89.81
672.27,89.47
679.68,88.99
687.08,88.31
694.48,87.59
701.89,86.84
709.29,85.92
716.70,85.00
724.10,83.97
731.51,82.77
738.91,81.65
746.31,80.51
753.72,79.45
761.12,78.21
768.53,76.80
775.93,75.35
783.33,73.83
790.74,72.23
798.14,70.67
805.55,69.06
812.95,67.47
820.35,65.69
827.76,63.49
835.16,61.23
842.57,58.99
849.97,56.78
857.37,54.56
864.78,52.36
872.18,50.10
879.53,47.73
886.99,45.16
894.39,42.49
901.80,39.54
909.20,35.81
916.61,32.19
924.01,28.73
931.41,25.45
938.82,22.31
946.22,20.42
953.63,18.91
961.03,17.50
968.43,16.36
975.84,15.26
983.24,13.77
990.65,11.92
997.38,10.29
