262.43,5.38
269.18,5.98
278.34,7.73
284.57,9.63
291.97,11.96
299.31,14.98
307.01,17.81
314.32,20.36
321.59,23.83
328.32,26.59
334.67,30.21
341.56,33.86
348.18,38.11
355.24,41.93
361.84,46.21
367.65,51.36
371.50,55.14
376.40,59.05
381.57,63.47
388.31,66.45
395.33,69.94
402.50,72.45
409.43,74.65
417.99,76.90
425.77,78.75
433.77,80.18
441.10,81.71
448.66,82.57
456.21,83.70
462.83,84.54
481.67,85.26
489.19,86.34
496.67,86.31
503.70,86.42
511.27,86.12
518.28,85.80
526.21,85.16
533.48,84.83
542.37,84.15
549.69,83.73
557.17,83.21
564.58,82.79
571.71,82.46
579.39,81.92
586.34,81.99
594.19,81.33
601.31,81.18
609.61,80.36
616.88,80.30
624.03,79.98
632.56,79.53
640.04,79.77
647.12,79.17
654.64,79.25
662.55,78.97
669.16,78.46
676.98,77.68
684.39,77.05
692.47,76.62
699.73,76.03
707.61,75.50
714.95,74.48
721.63,74.26
730.68,73.59
738.24,72.59
745.44,71.95
752.97,71.06
760.72,69.93
767.85,68.83
775.03,67.81
782.93,66.01
789.99,64.42
797.47,62.44
804.72,61.13
812.95,58.82
821.12,56.87
827.91,55.84
836.10,53.46
843.44,51.34
850.64,49.30
858.11,46.97
866.12,44.06
873.53,42.01
880.93,39.47
888.93,36.90
896.01,34.99
903.23,32.53
911.22,30.38
918.56,28.25
926.28,25.58
957.67,16.38
964.96,14.84
972.22,13.21
979.88,11.53
988.25,10.12
994.94,8.45
999.73,7.57
